ID,Program ID,Day,Time,Requirements
76280038,1,Thursday,12:00 PM,Complete
70108661,1,Tuesday,2:00 PM,Complete
15831854,1,Tuesday,10:00 AM,Complete
86647814,1,Monday,2:00 PM,Complete
30355187,1,Tuesday,2:00 PM,Complete
12345678,1,Friday,10:00 AM,Complete
77799508,1,Thursday,10:00 AM,Complete
35010404,1,Tuesday,10:00 AM,Complete
47707086,1,Tuesday,2:00 PM,Complete
10489983,1,Wednesday,2:00 PM,Complete
85718351,1,Tuesday,2:00 PM,Complete
43481125,1,Thursday,2:00 PM,Complete
57301413,1,Monday,2:00 PM,Complete
55623363,1,Thursday,10:00 AM,Complete
70733046,1,Monday,12:00 PM,Complete
29064982,1,Wednesday,10:00 AM,Complete
73246858,1,Monday,2:00 PM,Complete
52208065,1,Wednesday,12:00 PM,Complete
31677322,1,Thursday,12:00 PM,Complete
71941792,1,Friday,12:00 PM,Complete
59219640,1,Tuesday,10:00 AM,Complete
25647221,1,Tuesday,12:00 PM,Complete
56787568,1,Wednesday,2:00 PM,Complete
30108431,1,Thursday,12:00 PM,Complete
26225313,1,Wednesday,10:00 AM,Complete
51792355,1,Friday,12:00 PM,Complete
16114836,1,Wednesday,10:00 AM,Complete
89489351,1,Monday,12:00 PM,Complete
29094838,1,Thursday,12:00 PM,Complete
69690543,1,Wednesday,2:00 PM,Complete
24903731,1,Wednesday,10:00 AM,Complete
38587263,1,Friday,10:00 AM,Complete
65614588,1,Monday,12:00 PM,Complete
89526734,1,Monday,10:00 AM,Complete
40514398,1,Thursday,12:00 PM,Complete
37115976,1,Friday,2:00 PM,Complete
46062270,1,Monday,12:00 PM,Complete
34066991,1,Wednesday,12:00 PM,Complete
15544102,1,Tuesday,12:00 PM,Complete
73776341,1,Friday,10:00 AM,Complete
77192728,1,Thursday,10:00 AM,Complete
14086675,1,Tuesday,2:00 PM,Complete
47990081,1,Friday,10:00 AM,Complete
41207308,1,Wednesday,2:00 PM,Complete
66129491,1,Wednesday,2:00 PM,Complete
43493736,1,Tuesday,12:00 PM,Complete
65660894,1,Tuesday,12:00 PM,Complete
83777646,1,Wednesday,12:00 PM,Complete
74422102,1,Tuesday,12:00 PM,Complete
70561877,1,Monday,2:00 PM,Complete
66307656,1,Monday,2:00 PM,Complete
41368026,1,Friday,10:00 AM,Complete
74156951,1,Monday,10:00 AM,Complete
17718355,1,Tuesday,10:00 AM,Complete
39220356,1,Friday,2:00 PM,Complete
30852077,1,Monday,10:00 AM,Complete
65420998,1,Wednesday,12:00 PM,Complete
67374033,1,Friday,12:00 PM,Complete
69739536,1,Thursday,10:00 AM,Complete
13162138,1,Thursday,2:00 PM,Complete
74612856,1,Thursday,10:00 AM,Complete
29542691,1,Friday,10:00 AM,Complete
78927017,1,Friday,12:00 PM,Complete
31063274,1,Thursday,2:00 PM,Complete
18487091,1,Friday,10:00 AM,Complete
65837597,1,Wednesday,12:00 PM,Complete
51326910,1,Wednesday,2:00 PM,Complete
48486971,1,Monday,12:00 PM,Complete
26095476,1,Wednesday,12:00 PM,Complete
43587808,1,Friday,2:00 PM,Complete
56981046,1,Friday,12:00 PM,Complete
36598285,1,Friday,2:00 PM,Complete
14322497,1,Monday,12:00 PM,Complete
34943837,1,Monday,10:00 AM,Complete
16733250,1,Tuesday,10:00 AM,Complete
80920157,1,Wednesday,10:00 AM,Complete
74096291,1,Friday,2:00 PM,Complete
41831267,1,Tuesday,2:00 PM,Complete
41686018,1,Thursday,10:00 AM,Complete
63715072,1,Friday,12:00 PM,Complete
84508817,1,Monday,2:00 PM,Complete
23107465,1,Thursday,12:00 PM,Complete
86000815,1,Wednesday,2:00 PM,Complete
78585952,1,Tuesday,10:00 AM,Complete
60425370,1,Thursday,2:00 PM,Complete
37260652,1,Monday,10:00 AM,Complete
34834116,1,Friday,2:00 PM,Complete
55876566,1,Tuesday,2:00 PM,Complete
